rLE,Xup,Yup,Xlo,Ylo,cl,cd,cm,cl_cd,alpha,status
0.01,0.18884239,0.3,0.4000008,-0.3,1437.432,-214.68219,-316.1244,0.0,5.0,1
0.01,0.18884239,0.3,0.4000008,-0.2275,979.69366,-152.70781,-210.88,0.0,5.0,1
0.01,0.18884239,0.3,0.4000008,-0.155,536.98114,-87.755714,-108.663895,0.0,5.0,1
0.01,0.18884239,0.3,0.4000008,-0.0825,292.2775,-47.836124,-59.224358,0.0,5.0,1
0.01,0.18884239,0.3,0.4000008,-0.01,38.01594,-4.02607,-10.411063,0.0,5.0,1
0.01,0.18884239,0.3,0.5000011,-0.3,1.6235874e+16,-2720720600000000.0,-2954633600000000.0,0.0,5.0,1
0.01,0.18884239,0.3,0.5000011,-0.2275,1.2312201e+16,-2063212900000000.0,-2240596100000000.0,0.0,5.0,1
0.01,0.18884239,0.3,0.5000011,-0.155,8388532000000000.0,-1405705600000000.0,-1526560100000000.0,0.0,5.0,1
0.01,0.18884239,0.3,0.5000011,-0.0825,4464864400000000.0,-748198200000000.0,-812524100000000.0,0.0,5.0,1
0.01,0.18884239,0.3,0.5000011,-0.01,541195700000000.0,-90690680000000.0,-98487780000000.0,0.0,5.0,1
0.01,0.3666318,0.01,0.1,-0.3,4.6729975,-0.32621825,-1.1018722,0.0,5.0,1
0.01,0.3666318,0.01,0.1,-0.2275,3.4786773,-0.27135593,-0.64338744,0.0,5.0,1
0.01,0.3666318,0.01,0.1,-0.155,1.0683728,0.027630154,0.038552515,38.666916,5.0,1
0.01,0.3666318,0.01,0.1,-0.0825,0.40532398,-0.03126253,0.4083904,0.0,5.0,1
0.01,0.3666318,0.01,0.1,-0.01,-2.4724448,-0.014538471,0.89829767,0.0,5.0,1
0.01,0.3666318,0.01,0.20000027,-0.3,7.980279,-0.9567529,-1.8417872,0.0,5.0,1
0.01,0.3666318,0.01,0.20000027,-0.2275,6.6656756,-0.6526573,-1.6331757,0.0,5.0,1
0.01,0.3666318,0.01,0.20000027,-0.155,5.5282116,-0.38795614,-1.5161332,0.0,5.0,1
0.01,0.3666318,0.01,0.20000027,-0.0825,0.56664705,-0.060935583,0.32884824,0.0,5.0,1
0.01,0.3666318,0.01,0.20000027,-0.01,-1.8241522,-0.04119209,0.7807633,0.0,5.0,1
0.01,0.3666318,0.01,0.30000052,-0.3,52.658092,-7.849789,-12.32633,0.0,5.0,1
0.01,0.3666318,0.01,0.30000052,-0.2275,45.405434,-6.2867937,-11.3256445,0.0,5.0,1
0.01,0.3666318,0.01,0.30000052,-0.155,30.257755,-3.9895608,-7.8261623,0.0,5.0,1
0.01,0.3666318,0.01,0.30000052,-0.0825,11.913825,-1.5641164,-3.3063707,0.0,5.0,1
0.01,0.3666318,0.01,0.30000052,-0.01,-1.6832266,0.042422403,0.693965,-39.677776,5.0,1
0.01,0.3666318,0.01,0.4000008,-0.3,1670.3467,-248.94551,-371.59634,0.0,5.0,1
0.01,0.3666318,0.01,0.4000008,-0.2275,1269.8834,-188.96344,-283.44843,0.0,5.0,1
0.01,0.3666318,0.01,0.4000008,-0.155,878.8635,-129.88329,-198.00809,0.0,5.0,1
0.01,0.3666318,0.01,0.4000008,-0.0825,487.963,-71.03803,-112.55195,0.0,5.0,1
0.01,0.3666318,0.01,0.4000008,-0.01,35.72849,-5.473242,-8.960372,0.0,5.0,1
0.01,0.3666318,0.01,0.5000011,-0.3,1.9925955e+16,-3339085800000000.0,-3626160600000000.0,0.0,5.0,1
0.01,0.3666318,0.01,0.5000011,-0.2275,1.5110516e+16,-2532140000000000.0,-2749839000000000.0,0.0,5.0,1
0.01,0.3666318,0.01,0.5000011,-0.155,1.0295077e+16,-1725194000000000.0,-1873516500000000.0,0.0,5.0,1
0.01,0.3666318,0.01,0.5000011,-0.0825,5479637400000000.0,-918248600000000.0,-997194100000000.0,0.0,5.0,1
0.01,0.3666318,0.01,0.5000011,-0.01,664198440000000.0,-111302850000000.0,-120872030000000.0,0.0,5.0,1
0.01,0.3666318,0.0825,0.1,-0.3,-1.245008,-0.037702847,0.5888821,0.0,5.0,1
0.01,0.3666318,0.0825,0.1,-0.2275,-1.6897542,-0.06380737,0.7079669,0.0,5.0,1
0.01,0.3666318,0.0825,0.1,-0.155,-2.4501448,-0.03331103,0.884961,0.0,5.0,1
0.01,0.3666318,0.0825,0.1,-0.0825,-2.1974778,0.02321658,0.7926792,-94.65123,5.0,1
0.01,0.3666318,0.0825,0.1,-0.01,-1.9239666,0.047732014,0.642784,-40.30768,5.0,1
0.01,0.3666318,0.0825,0.20000027,-0.3,-1.4119604,0.045787845,0.58041096,-30.837013,5.0,1
0.01,0.3666318,0.0825,0.20000027,-0.2275,-1.8749727,0.05870377,0.67163503,-31.939562,5.0,1
0.01,0.3666318,0.0825,0.20000027,-0.155,-1.7531738,-0.027404819,0.75655806,0.0,5.0,1
0.01,0.3666318,0.0825,0.20000027,-0.0825,-2.708873,-0.009237632,0.96935344,0.0,5.0,1
0.01,0.3666318,0.0825,0.20000027,-0.01,-1.908797,0.050767127,0.6627071,-37.599075,5.0,1
0.01,0.3666318,0.0825,0.30000052,-0.3,0.62671393,0.21309951,0.024071477,2.940945,5.0,1
0.01,0.3666318,0.0825,0.30000052,-0.2275,0.25381607,0.160264,0.14503945,1.5837373,5.0,1
0.01,0.3666318,0.0825,0.30000052,-0.155,-0.9224105,0.2359336,0.34469336,-3.909619,5.0,1
0.01,0.3666318,0.0825,0.30000052,-0.0825,-2.2331877,0.1135118,0.73699373,-19.673616,5.0,1
0.01,0.3666318,0.0825,0.30000052,-0.01,-1.9155135,0.053853024,0.6958631,-35.569283,5.0,1
0.01,0.3666318,0.0825,0.4000008,-0.3,157.77545,-22.575907,-37.83578,0.0,5.0,1
0.01,0.3666318,0.0825,0.4000008,-0.2275,118.87082,-16.853283,-28.815992,0.0,5.0,1
0.01,0.3666318,0.0825,0.4000008,-0.155,80.777885,-11.385137,-20.475355,0.0,5.0,1
0.01,0.3666318,0.0825,0.4000008,-0.0825,32.76076,-4.8608365,-8.99313,0.0,5.0,1
0.01,0.3666318,0.0825,0.4000008,-0.01,-0.34650785,0.2184721,0.11210442,-1.5860509,5.0,1
0.01,0.3666318,0.0825,0.5000011,-0.3,1677608600000000.0,-281124720000000.0,-305294160000000.0,0.0,5.0,1
0.01,0.3666318,0.0825,0.5000011,-0.2275,1272186600000000.0,-213186270000000.0,-231514840000000.0,0.0,5.0,1
0.01,0.3666318,0.0825,0.5000011,-0.155,866764400000000.0,-145247740000000.0,-157735320000000.0,0.0,5.0,1
0.01,0.3666318,0.0825,0.5000011,-0.0825,461342340000000.0,-77309300000000.0,-83955910000000.0,0.0,5.0,1
0.01,0.3666318,0.0825,0.5000011,-0.01,55920280000000.0,-9370822000000.0,-10176472000000.0,0.0,5.0,1
0.01,0.3666318,0.155,0.1,-0.3,-2.4861896,-0.027793463,0.89528,0.0,5.0,1
0.01,0.3666318,0.155,0.1,-0.2275,-2.6873877,-0.006471999,0.95997375,0.0,5.0,1
0.01,0.3666318,0.155,0.1,-0.155,-2.1586473,0.020969987,0.7753902,-102.93985,5.0,1
0.01,0.3666318,0.155,0.1,-0.0825,-1.8999588,0.04254173,0.7162462,-44.66106,5.0,1
0.01,0.3666318,0.155,0.1,-0.01,-1.9373877,0.046383698,0.63002634,-41.768723,5.0,1
0.01,0.3666318,0.155,0.20000027,-0.3,-1.7752739,-0.028812088,0.7573774,0.0,5.0,1
0.01,0.3666318,0.155,0.20000027,-0.2275,-2.5466368,0.016668282,0.92569137,-152.7834,5.0,1
0.01,0.3666318,0.155,0.20000027,-0.155,-2.7109094,0.0045775585,0.9756214,-592.2173,5.0,1
0.01,0.3666318,0.155,0.20000027,-0.0825,-1.9303621,0.018239353,0.71672446,-105.835014,5.0,1
0.01,0.3666318,0.155,0.20000027,-0.01,-1.917891,0.044613037,0.631919,-42.989475,5.0,1
0.01,0.3666318,0.155,0.30000052,-0.3,-0.9064697,0.23547477,0.32988888,-3.8495407,5.0,1
0.01,0.3666318,0.155,0.30000052,-0.2275,-1.8445582,0.14611779,0.5088698,-12.6237755,5.0,1
0.01,0.3666318,0.155,0.30000052,-0.155,-2.037929,0.12899731,0.66436636,-15.798229,5.0,1
0.01,0.3666318,0.155,0.30000052,-0.0825,-1.7530913,0.09952384,0.59651804,-17.614788,5.0,1
0.01,0.3666318,0.155,0.30000052,-0.01,-1.9087042,0.04311345,0.64216053,-44.271664,5.0,1
0.01,0.3666318,0.155,0.4000008,-0.3,82.61131,-11.643286,-20.824104,0.0,5.0,1
0.01,0.3666318,0.155,0.4000008,-0.2275,58.08015,-8.281989,-15.237219,0.0,5.0,1
0.01,0.3666318,0.155,0.4000008,-0.155,32.91241,-4.862638,-9.06591,0.0,5.0,1
0.01,0.3666318,0.155,0.4000008,-0.0825,13.480928,-1.9863422,-3.9551768,0.0,5.0,1
0.01,0.3666318,0.155,0.4000008,-0.01,-0.7911495,0.18191881,0.17493233,-4.348915,5.0,1
0.01,0.3666318,0.155,0.5000011,-0.3,875666300000000.0,-146739540000000.0,-159355300000000.0,0.0,5.0,1
0.01,0.3666318,0.155,0.5000011,-0.2275,664047000000000.0,-111277460000000.0,-120844440000000.0,0.0,5.0,1
0.01,0.3666318,0.155,0.5000011,-0.155,452427600000000.0,-75815410000000.0,-82333580000000.0,0.0,5.0,1
0.01,0.3666318,0.155,0.5000011,-0.0825,240808260000000.0,-40353374000000.0,-43822717000000.0,0.0,5.0,1
0.01,0.3666318,0.155,0.5000011,-0.01,29188879000000.0,-4891317600000.0,-5311845000000.0,0.0,5.0,1
0.01,0.3666318,0.2275,0.1,-0.3,-2.5228612,0.01584496,0.91548365,-159.2217,5.0,1
0.01,0.3666318,0.2275,0.1,-0.2275,-2.1468372,0.020545185,0.7714425,-104.493454,5.0,1
0.01,0.3666318,0.2275,0.1,-0.155,-2.0110993,0.02324874,0.75163424,-86.503586,5.0,1
0.01,0.3666318,0.2275,0.1,-0.0825,-1.8693984,0.07722068,0.6774689,-24.20852,5.0,1
0.01,0.3666318,0.2275,0.1,-0.01,-1.9675648,0.04748864,0.6350381,-41.432323,5.0,1
0.01,0.3666318,0.2275,0.20000027,-0.3,-2.5874104,0.0024555065,0.94678533,-1053.7177,5.0,1
0.01,0.3666318,0.2275,0.20000027,-0.2275,-2.703184,0.008931462,0.97489166,-302.65863,5.0,1
0.01,0.3666318,0.2275,0.20000027,-0.155,-2.0468743,0.016953766,0.73973966,-120.73272,5.0,1
0.01,0.3666318,0.2275,0.20000027,-0.0825,-1.9750258,0.040905017,0.73382396,-48.283215,5.0,1
0.01,0.3666318,0.2275,0.20000027,-0.01,-1.9413671,0.045714606,0.631681,-42.46711,5.0,1
0.01,0.3666318,0.2275,0.30000052,-0.3,-2.1256428,0.1572686,0.6297748,-13.516003,5.0,1
0.01,0.3666318,0.2275,0.30000052,-0.2275,-2.0124288,0.13641219,0.6466339,-14.752559,5.0,1
0.01,0.3666318,0.2275,0.30000052,-0.155,-1.8374426,0.12912588,0.61557573,-14.229856,5.0,1
0.01,0.3666318,0.2275,0.30000052,-0.0825,-1.7503152,0.07363713,0.6361012,-23.769466,5.0,1
0.01,0.3666318,0.2275,0.30000052,-0.01,-1.9096965,0.042126138,0.6288487,-45.332817,5.0,1
0.01,0.3666318,0.2275,0.4000008,-0.3,48.312687,-7.02905,-12.829657,0.0,5.0,1
0.01,0.3666318,0.2275,0.4000008,-0.2275,32.93093,-4.8554034,-9.079119,0.0,5.0,1
0.01,0.3666318,0.2275,0.4000008,-0.155,19.611288,-2.856481,-5.6759906,0.0,5.0,1
0.01,0.3666318,0.2275,0.4000008,-0.0825,6.8643513,-0.861374,-2.0652738,0.0,5.0,1
0.01,0.3666318,0.2275,0.4000008,-0.01,-1.1220585,0.15068588,0.2936688,-7.4463415,5.0,1
0.01,0.3666318,0.2275,0.5000011,-0.3,592456400000000.0,-99280686000000.0,-107816280000000.0,0.0,5.0,1
0.01,0.3666318,0.2275,0.5000011,-0.2275,449279350000000.0,-75287860000000.0,-81760660000000.0,0.0,5.0,1
